name,country,subcountry,geonameid,lat,lng
Tyrnyauz,Russia,Kabardino-Balkariya,479933,43.398084,42.921423
Tver,Russia,Tverskaya,480060,56.859847,35.911995
Tuymazy,Russia,Bashkortostan,480089,54.599988,53.695008
Tutayev,Russia,Jaroslavl,480122,57.8688,39.530759
Tula,Russia,Tula,480562,54.193122,37.617348
Tuchkovo,Russia,MO,480685,55.614139,36.401146
Tuapse,Russia,Krasnodarskiy,480716,44.09564,39.073553
Tsimlyansk,Russia,Rostov,480876,47.647714,42.09306
Trubchevsk,Russia,Brjansk,481350,52.579077,33.766073
Troparëvo,Russia,Moscow,481453,0.0,0.0
Troitskaya,Russia,Ingushetiya,481605,53.448626,28.546753
Troitsk,Russia,Moscow,481608,55.484842,37.305561
Tosno,Russia,Leningrad,481964,59.540664,30.877719
Torzhok,Russia,Tverskaya,481985,57.041338,34.96014
Tomilino,Russia,MO,482260,55.663126,37.949931
Tol’yatti,Russia,Samara,482283,34.787052,67.581013
Timashëvsk,Russia,Krasnodarskiy,482965,45.615877,38.935069
Tikhvin,Russia,Leningrad,483019,59.644209,33.542096
Tikhoretsk,Russia,Krasnodarskiy,483029,45.85468,40.125929
Teykovo,Russia,Ivanovo,483137,56.85436,40.535471
Terek,Russia,Kabardino-Balkariya,483495,43.483865,44.140267
Tyoply Stan,Russia,Moscow,483551,54.103589,42.732858
Temryuk,Russia,Krasnodarskiy,483661,45.27841,37.370194
Tekstil’shchiki,Russia,Moscow,483826,41.006441,69.001331
Tbilisskaya,Russia,Krasnodarskiy,483883,45.364528,40.201765
Tambov,Russia,Tambov,484646,52.721219,41.452274
Agidel’,Russia,Bashkortostan,484856,55.899835,53.92204
Taganrog,Russia,Rostov,484907,47.220983,38.9173
Taganskiy,Russia,Moscow,484912,55.713461,38.350714
Syzran’,Russia,Samara,484972,53.155782,48.474485
Syktyvkar,Russia,Komi Republic,485239,61.668793,50.836399
Svobody,Russia,Stavropol'skiy,485432,44.024773,43.051464
Sviblovo,Russia,Moscow,485630,56.345614,38.370882
Svetogorsk,Russia,Leningrad,485639,61.111193,28.87268
Svetlyy,Russia,Kaliningrad,485660,54.67737,20.135719
Svetlograd,Russia,Stavropol'skiy,485698,45.328573,42.856628
Suvorovskaya,Russia,Stavropol'skiy,485871,44.197529,42.649962
Suvorov,Russia,Tula,485888,54.122083,36.490339
Surovikino,Russia,Volgograd,486071,48.605493,42.844195
Surkhakhi,Russia,Ingushetiya,486110,43.184867,44.902846
Sukhinichi,Russia,Kaluga,486665,54.101752,35.339319
Stupino,Russia,MO,486968,54.88688,38.07839
Strunino,Russia,Vladimir,487095,56.37493,38.584079
Stroitel’,Russia,Belgorod,487147,50.784551,36.488686
Strogino,Russia,Moscow,487150,55.784541,36.381796
Sterlitamak,Russia,Bashkortostan,487495,53.630403,55.930825
Stavropol’,Russia,Stavropol'skiy,487846,45.044521,41.969083
Staryy Oskol,Russia,Belgorod,487928,49.580332,37.651511
Staroshcherbinovskaya,Russia,Krasnodarskiy,488635,46.629713,38.667335
Starominskaya,Russia,Krasnodarskiy,488742,46.533019,39.053628
Starodub,Russia,Brjansk,488852,52.585277,32.760346
Staraya Russa,Russia,Novgorod,489088,57.990715,31.355452
Staraya Kupavna,Russia,MO,489162,55.810648,38.175624
Staraya Derevnya,Russia,St.-Petersburg,489226,53.635144,24.418895
Sovetsk,Russia,Kirov,490067,55.081029,21.888647
Sovetsk,Russia,Kaliningrad,490068,55.081029,21.888647
Sosnovyy Bor,Russia,Leningrad,490172,59.90422,29.09221
Sosnovaya Polyana,Russia,St.-Petersburg,490377,60.264715,30.497328
Sosnogorsk,Russia,Komi Republic,490391,63.59911,53.876441
Sortavala,Russia,Republic of Karelia,490466,61.703306,30.691723
Sorochinsk,Russia,Orenburg,490554,52.429092,53.151016
Solntsevo,Russia,Moscow,490971,51.416339,36.755046
Solnechnogorsk,Russia,MO,490996,56.185102,36.977631
Sol’-Iletsk,Russia,Orenburg,491019,51.16185,54.980336
Solikamsk,Russia,Perm,491023,59.648333,56.771029
Sokol’niki,Russia,Moscow,491250,57.413878,42.152897
Sokol,Russia,Moscow,491280,59.460968,40.099977
Sokol,Russia,Vologda,491281,59.460968,40.099977
Sofrino,Russia,MO,491352,56.131506,37.936393
Sochi,Russia,Krasnodarskiy,491422,43.585525,39.723062
Sobinka,Russia,Vladimir,491480,55.993837,40.017943
Smolensk,Russia,Smolensk,491687,54.782635,32.045251
Slobodskoy,Russia,Kirov,491882,58.731886,50.183674
Slobodka,Russia,Moscow,491895,53.513041,28.555053
Slavyansk-na-Kubani,Russia,Krasnodarskiy,492094,45.260325,38.12822
Slantsy,Russia,Leningrad,492162,59.11779,28.088136
Skopin,Russia,Rjazan,492376,53.82359,39.549328
Skhodnya,Russia,MO,492448,55.954113,37.272197
Sim,Russia,Chelyabinsk,492944,54.990716,57.689969
Sibay,Russia,Bashkortostan,493160,52.72051,58.666429
Shuya,Russia,Ivanovo,493231,56.852037,41.385556
