node1,node2,dist,real_dist
Chunskiy,Nizhneudinsk,0.015295469448416997,210922.0
Nizhniy Novgorod,Sovetskiy,0.00046223137843691604,
Kushva,Nizhniy Tagil,0.005080077757405471,50137.0
Nizhnyaya Salda,Verkhnyaya Salda,0.0013988940098212616,14405.0
Novaya Usman’,Voronezh,0.002309324469552701,17908.0
Novoanninskiy,Uryupinsk,0.007749013487407808,88286.0
Cheboksary,Novocheboksarsk,0.002261541601798419,17828.0
Novocherkassk,Shakhty,0.003095125184546915,40406.0
Novogireyevo,Semënovskoye,0.0021590494286153933,543297.0
Kuybyshev,Novokuybyshevsk,0.001936036945549708,40907.0
Novokuznetsk,Osinniki,0.002746560720275025,34351.0
Novomichurinsk,Skopin,0.00317082073725662,37988.0
Georgiyevsk,Novopavlovsk,0.0025527405151264146,28526.0
Krymsk,Novorossiysk,0.003249062579327511,52624.0
Krasnyy Sulin,Novoshakhtinsk,0.001972798479649472,29225.0
Novotitarovskaya,Yasenevo,0.000523675002054256,1323808.0
Novotroitsk,Orsk,0.0019283328884302832,23494.0
Akademgorodok,Novoul’yanovsk,0.0,2621243.0
Novouzensk,Yershov,0.009519619795461023,123244.0
Novovoronezh,Voronezh,0.0037698268832207843,52013.0
Novozybkov,Unecha,0.008524094325549998,77159.0
Novyy Urengoy,Tarko-Sale,0.01857171077725416,206667.0
Nyagan,Yugorsk,0.020762823899448283,166674.0
Novosibirsk,Ob’,0.0023061516961513148,
Odintsovo,Vnukovo,0.0008831024646695789,18992.0
Okha,Severo-Zadonsk,0.038847972556714135,
Glazov,Omutninsk,0.00805542514518634,94966.0
Onega,Severodvinsk,0.01605836170685851,165395.0
Karabulak,Ordzhonikidzevskaya,0.0017603288780070195,13136.0
Akademgorodok,Orekhovo-Borisovo,0.0,3396434.0
Orenburg,Sol’-Iletsk,0.006571126819622282,73103.0
Orlovskiy,Proletarsk,0.004189904913068249,
Mtsensk,Orël,0.0063573426823346005,52844.0
Nytva,Osa,0.008280748611491678,
Ostashkov,Valday,0.010530453940259957,191460.0
Liski,Ostrogozhsk,0.004752071917276174,2750956.0
Otradnaya,Zelenchukskaya,0.004560066324022981,96424.0
Kolpino,Otradnoye,0.0017616906861778353,17709.0
Ilanskiy,Ozerki,0.004377998576105928,
Ozëry,Zaraysk,0.0033635511870141323,31518.0
Novouzensk,Pallasovka,0.014584684698426944,307899.0
Krasnodar,Pashkovskiy,0.001961979139528995,10158.0
Dzerzhinsk,Pavlovo,0.0050833793471565,79496.0
Pavlovsk,Pushkin,0.00048660061365675243,7038.0
Pavlovskaya,Tikhoretsk,0.004757342191565178,46040.0
Pechora,Usinsk,0.012426128122499666,232419.0
Krasnokamsk,Perm,0.004632373266270945,
Azov,Persianovka,0.0038959857589056773,87986.0
Pervoural’sk,Revda,0.0013345001831885446,12148.0
Kozhukhovo,Pestovo,0.007216046329457776,427040.0
Peterhof,Petrodvorets,0.0,1325.0
Petropavlovsk-Kamchatsky,Vilyuchinsk,0.002701689194450892,
Akademgorodok,Petrovsk-Zabaykal’skiy,0.0,2431120.0
